('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         667042 function calls (646267 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      287    1.048    0.004    1.048    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.057    0.057    0.057    0.057 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.053    0.053    0.053    0.053 {method 'connect' of '_socket.socket' objects}
    24998    0.045    0.000    0.045    0.000 {method 'match' of 're.Pattern' objects}
     2702    0.045    0.000    0.253    0.000 parser.py:301(parse_starttag)
 4414/161    0.035    0.000    0.108    0.001 _parser.py:511(_parse)
        2    0.031    0.015    0.405    0.202 parser.py:134(goahead)
 4877/155    0.027    0.000    0.060    0.000 _compiler.py:37(_compile)
    21/19    0.027    0.001    0.029    0.002 {built-in method _imp.create_dynamic}
    76890    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
     2702    0.019    0.000    0.115    0.000 __init__.py:987(handle_starttag)
     2702    0.019    0.000    0.030    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
       87    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        1    0.018    0.018    0.018    0.018 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     2703    0.016    0.000    0.052    0.000 element.py:1618(__init__)
61156/55676    0.015    0.000    0.018    0.000 {built-in method builtins.len}
     5646    0.015    0.000    0.062    0.000 __init__.py:826(endData)
     2702    0.015    0.000    0.135    0.000 _htmlparser.py:142(handle_starttag)
    24706    0.013    0.000    0.019    0.000 _parser.py:167(__getitem__)
     2554    0.012    0.000    0.079    0.000 parser.py:379(parse_endtag)
     8073    0.012    0.000    0.012    0.000 element.py:376(setup)
    44861    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     8105    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
    14193    0.011    0.000    0.011    0.000 {method 'group' of 're.Match' objects}
 4779/290    0.010    0.000    0.014    0.000 _parser.py:177(getwidth)
 1018/155    0.010    0.000    0.109    0.001 _parser.py:451(_parse_sub)
        1    0.009    0.009    0.009    0.009 {method 'decompress' of 'zlib.Decompress' objects}
     2701    0.009    0.000    0.017    0.000 __init__.py:950(_popToTag)
      564    0.009    0.000    0.013    0.000 _compiler.py:241(_optimize_charset)
    10779    0.009    0.000    0.013    0.000 _markupbase.py:44(updatepos)
      506    0.008    0.000    0.008    0.000 {built-in method posix.stat}
      144    0.008    0.000    0.008    0.000 {built-in method _io.open_code}
     2703    0.008    0.000    0.010    0.000 __init__.py:809(pushTag)
     2685    0.008    0.000    0.016    0.000 element.py:1291(__new__)
    20081    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     2685    0.008    0.000    0.019    0.000 __init__.py:867(object_was_parsed)
   259/11    0.007    0.000    0.380    0.035 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.007    0.007    0.007    0.007 {built-in method _scproxy._get_proxies}
     2703    0.007    0.000    0.059    0.000 _htmlparser.py:204(handle_endtag)
  318/317    0.007    0.000    0.084    0.000 {built-in method builtins.__build_class__}
        1    0.007    0.007    0.089    0.089 dammit.py:128(_populate_class_variables)
3132/3128    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x1035bb800}
     2685    0.007    0.000    0.011    0.000 __init__.py:732(string_container)
    11349    0.006    0.000    0.010    0.000 _parser.py:260(get)
    18602    0.006    0.000    0.006    0.000 _parser.py:239(__next)
    14280    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
6003/5984    0.006    0.000    0.013    0.000 typing.py:426(inner)
     2702    0.006    0.000    0.006    0.000 __init__.py:786(popTag)
    14889    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
     2190    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
     2702    0.005    0.000    0.019    0.000 parser.py:345(check_for_whole_start_tag)
       21    0.005    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
     2701    0.005    0.000    0.052    0.000 __init__.py:1053(handle_endtag)
     7967    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
     1972    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
    10950    0.005    0.000    0.007    0.000 _parser.py:163(__len__)
      472    0.004    0.000    0.006    0.000 css_types.py:41(__init__)
      184    0.004    0.000    0.172    0.001 {method 'read' of '_io.BufferedReader' objects}
     9793    0.004    0.000    0.006    0.000 _parser.py:255(match)
      727    0.004    0.000    0.011    0.000 {method 'sub' of 're.Pattern' objects}
     1404    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
    11658    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       58    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
     6477    0.003    0.000    0.005    0.000 _parser.py:175(append)
     1445    0.003    0.000    0.013    0.000 filter.py:538(matches_tag)
      263    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
       99    0.003    0.000    0.007    0.000 _compiler.py:470(_get_charset_prefix)
    13068    0.003    0.000    0.003    0.000 {built-in method builtins.min}
       16    0.003    0.000    0.007    0.000 enum.py:1749(convert_class)
      266    0.003    0.000    0.192    0.001 __init__.py:330(_compile)
     1445    0.003    0.000    0.007    0.000 filter.py:612(_attribute_match)
     2586    0.003    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
        1    0.003    0.003    0.021    0.021 filter.py:129(filter)
       30    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
     4706    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
