('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765117 function calls (740712 primitive calls) in 2.025 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    86714    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
70590/64250    0.018    0.000    0.021    0.000 {built-in method builtins.len}
52877/52873    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    29791    0.016    0.000    0.023    0.000 _parser.py:167(__getitem__)
    25769    0.008    0.000    0.008    0.000 _parser.py:239(__next)
    25026    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
    20877    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    16895    0.009    0.000    0.014    0.000 _parser.py:260(get)
    14889    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
    14852    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
    14586    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    14193    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
    13333    0.005    0.000    0.008    0.000 _parser.py:255(match)
    12833    0.005    0.000    0.008    0.000 _parser.py:163(__len__)
    12815    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    10779    0.008    0.000    0.013    0.000 _markupbase.py:44(updatepos)
     9216    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     8864    0.002    0.000    0.002    0.000 typing.py:2371(cast)
     8134    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
     8073    0.011    0.000    0.011    0.000 element.py:376(setup)
     7967    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
     7522    0.004    0.000    0.006    0.000 _parser.py:175(append)
     7269    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     6234    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
6204/6136    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
6061/6039    0.006    0.000    0.015    0.000 typing.py:426(inner)
     5971    0.002    0.000    0.011    0.000 __init__.py:122(unescape)
     5943    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     5646    0.013    0.000    0.056    0.000 __init__.py:826(endData)
 5559/198    0.033    0.000    0.076    0.000 _compiler.py:37(_compile)
     5523    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
 5516/389    0.011    0.000    0.016    0.000 _parser.py:177(getwidth)
 4783/206    0.047    0.000    0.136    0.001 _parser.py:511(_parse)
     4360    0.002    0.000    0.003    0.000 _parser.py:292(tell)
     4260    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     4147    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     3822    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3748    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3352/3326    0.008    0.000    0.009    0.000 {built-in method __new__ of type object at 0x10d7e5800}
     3152    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3114    0.002    0.000    0.010    0.000 {built-in method builtins.next}
     2923    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2804    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     2781    0.002    0.000    0.015    0.000 filter.py:717(match)
     2707    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
     2703    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2703    0.006    0.000    0.053    0.000 _htmlparser.py:204(handle_endtag)
     2703    0.011    0.000    0.047    0.000 element.py:1618(__init__)
     2703    0.007    0.000    0.009    0.000 __init__.py:809(pushTag)
     2703    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2702    0.002    0.000    0.003    0.000 element.py:1812(is_empty_element)
     2702    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2702    0.042    0.000    0.233    0.000 parser.py:301(parse_starttag)
     2702    0.005    0.000    0.006    0.000 __init__.py:786(popTag)
     2702    0.018    0.000    0.104    0.000 __init__.py:987(handle_starttag)
     2702    0.020    0.000    0.030    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2702    0.014    0.000    0.123    0.000 _htmlparser.py:142(handle_starttag)
     2702    0.004    0.000    0.018    0.000 parser.py:345(check_for_whole_start_tag)
     2701    0.004    0.000    0.047    0.000 __init__.py:1053(handle_endtag)
     2701    0.008    0.000    0.016    0.000 __init__.py:950(_popToTag)
     2685    0.006    0.000    0.010    0.000 __init__.py:732(string_container)
     2685    0.007    0.000    0.014    0.000 element.py:1291(__new__)
