('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         763004 function calls (738593 primitive calls) in 2.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    1.096    0.004    1.096    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      311    0.145    0.000    0.292    0.001 {method 'read' of '_io.BufferedReader' objects}
    24/21    0.062    0.003    0.066    0.003 {built-in method _imp.create_dynamic}
        1    0.057    0.057    0.057    0.057 {method 'do_handshake' of '_ssl._SSLSocket' objects}
 4783/206    0.057    0.000    0.159    0.001 _parser.py:511(_parse)
      168    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
        1    0.047    0.047    0.047    0.047 {method 'connect' of '_socket.socket' objects}
 5559/198    0.042    0.000    0.096    0.000 _compiler.py:37(_compile)
    24712    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
     2672    0.042    0.000    0.236    0.000 parser.py:301(parse_starttag)
      959    0.034    0.000    0.034    0.000 {built-in method posix.stat}
      253    0.033    0.000    0.033    0.000 {built-in method _io.open_code}
        2    0.030    0.015    0.390    0.195 parser.py:134(goahead)
  541/536    0.027    0.000    0.134    0.000 {built-in method builtins.__build_class__}
    86547    0.026    0.000    0.026    0.000 {method 'append' of 'list' objects}
        1    0.024    0.024    0.024    0.024 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
70570/64224    0.021    0.000    0.024    0.000 {built-in method builtins.len}
     2672    0.020    0.000    0.030    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    29797    0.019    0.000    0.028    0.000 _parser.py:167(__getitem__)
     2672    0.018    0.000    0.106    0.000 __init__.py:987(handle_starttag)
52961/52957    0.017    0.000    0.017    0.000 {built-in method builtins.isinstance}
      912    0.014    0.000    0.022    0.000 _compiler.py:241(_optimize_charset)
     2672    0.014    0.000    0.125    0.000 _htmlparser.py:142(handle_starttag)
     5590    0.014    0.000    0.058    0.000 __init__.py:826(endData)
 1291/198    0.013    0.000    0.161    0.001 _parser.py:451(_parse_sub)
        1    0.012    0.012    0.012    0.012 {built-in method _socket.getaddrinfo}
        1    0.012    0.012    0.116    0.116 dammit.py:128(_populate_class_variables)
 5516/389    0.012    0.000    0.017    0.000 _parser.py:177(getwidth)
        1    0.012    0.012    0.012    0.012 {built-in method _scproxy._get_proxy_settings}
       38    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2523    0.012    0.000    0.074    0.000 parser.py:379(parse_endtag)
3363/3337    0.012    0.000    0.013    0.000 {built-in method __new__ of type object at 0x108ec9800}
     8065    0.011    0.000    0.011    0.000 element.py:376(setup)
     2673    0.011    0.000    0.047    0.000 element.py:1618(__init__)
       93    0.011    0.000    0.011    0.000 {built-in method posix.getcwd}
      488    0.011    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    16895    0.011    0.000    0.017    0.000 _parser.py:260(get)
     8045    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
    13997    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
    25769    0.010    0.000    0.010    0.000 _parser.py:239(__next)
       24    0.010    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
      253    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
    20789    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     2671    0.008    0.000    0.016    0.000 __init__.py:950(_popToTag)
    10659    0.008    0.000    0.013    0.000 _markupbase.py:44(updatepos)
       21    0.008    0.000    0.008    0.000 {built-in method posix.listdir}
      168    0.008    0.000    0.272    0.002 <frozen importlib._bootstrap_external>:1093(get_code)
     2534    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2673    0.007    0.000    0.009    0.000 __init__.py:809(pushTag)
